case_id,crime_description,crime_category,location_type,victim_count,accused_count,weapon_used,intent,property_value,injury_level,keywords,predicted_bns_sections,applicable_bnss_procedures,applicable_bsa_evidence,punishment_range,case_outcome,case_duration_months,confidence_label
CP-CASE-101356,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 667418 from their bank account.",Cyber Crime & Fraud,Rural Area,1,3,None,Spontaneous Argument,667418,None,"email hacking, credit card fraud, online scam, fake profile, fake website",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,7,Low
CP-CASE-101357,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 295347 cash were stolen.",Theft & Burglary,Residential,1,3,None,Accidental / Negligence,295347,None,"steal, gold chain, robbery",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Settled / Compromised,39,Low
CP-CASE-101358,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Public Space,1,2,None,Property Dispute,0,Fatal (Death),"autopsy report, motive, homicide, gunshot, dead body found",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,45,High
CP-CASE-101359,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 1077856 cash were stolen.",Theft & Burglary,Rural Area,3,2,None,Personal Vendetta,1077856,None,"night burglary, locker forced, broken lock",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Settled / Compromised,38,High
CP-CASE-101360,"The accused shot the victim following a long-standing property dispute, leading to instantaneous death.",Murder & Homicide,Rural Area,1,4,None,Jealousy / Crime of Passion,0,Fatal (Death),"poisoning, homicide, fatal attack, motive, dead body found",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,32,Medium
CP-CASE-101361,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Public Space,3,1,Kitchen Knife,Spontaneous Argument,0,Minor (Scratches/Bruises),"bleeding, beating, stab wound, fight, physical attack",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,24,Medium
CP-CASE-101362,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 1181961.,Cyber Crime & Fraud,Digital / Online,3,1,None,Spontaneous Argument,1181961,None,"unauthorized transaction, fake website, email hacking",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,47,High
CP-CASE-101363,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Digital / Online,1,2,Kitchen Knife,Jealousy / Crime of Passion,1055001,None,"kidnap, unidentified vehicle, extortion demand, held hostage, abducted from school",Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Referred to Mediation,48,Medium
CP-CASE-101364,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Public Space,1,4,Kitchen Knife,Spontaneous Argument,0,Fatal (Death),"poisoning, stabbed to death, strangulation, fatal attack",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Referred to Mediation,35,High
CP-CASE-101365,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Residential,3,1,Firearm / Pistol,Property Dispute,136899,None,"extortion demand, forced custody, ransom call, held hostage",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Acquittal,32,Low
CP-CASE-101366,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Commercial,1,2,Iron Rod,Property Dispute,0,Severe (Fracture/Deep Cuts),"beating, broken arm, bruises, stab wound, iron rod",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Referred to Mediation,41,High
CP-CASE-101367,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Commercial,3,2,Country-made Gun,Financial Gain,1357942,None,"abduction, kidnap, held hostage, forced custody, missing child",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Referred to Mediation,35,High
CP-CASE-101368,"The accused shot the victim following a long-standing property dispute, leading to instantaneous death.",Murder & Homicide,Public Space,2,2,Iron Rod,Accidental / Negligence,0,Fatal (Death),"homicide, fatal attack, dead body found, autopsy report, stabbed to death",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,8,Medium
CP-CASE-101369,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Public Space,1,3,Wooden Stick,Jealousy / Crime of Passion,0,Fatal (Death),"murder, autopsy report, homicide, strangulation",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,12,Medium
CP-CASE-101370,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Public Space,3,1,None,Accidental / Negligence,1429885,None,"robbery, night burglary, missing cash",Section 331 (Lurking House-trespass),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Settled / Compromised,23,High
CP-CASE-101371,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Rural Area,1,3,None,Financial Gain,1068661,None,"email hacking, online scam, phishing, cloned identity",Section 318 (Cheating),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Acquittal,9,Medium
CP-CASE-101372,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Digital / Online,1,1,Firearm / Pistol,Jealousy / Crime of Passion,0,Fatal (Death),"autopsy report, motive, murder, fatal attack",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,46,Medium
CP-CASE-101373,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Digital / Online,2,3,None,Personal Vendetta,613205,None,"forced custody, missing child, unidentified vehicle, kidnap",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Referred to Mediation,14,Medium
CP-CASE-101374,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Residential,1,3,Firearm / Pistol,Spontaneous Argument,0,Moderate (Stitch/Sprain),"broken arm, bruises, hospitalized, beating",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,8,Low
CP-CASE-101375,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 1173749.,Cyber Crime & Fraud,Public Space,3,2,None,Personal Vendetta,1173749,None,"fake website, credit card fraud, phishing",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Settled / Compromised,41,Low
CP-CASE-101376,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Rural Area,1,4,Iron Rod,Accidental / Negligence,519917,None,"forced custody, abduction, extortion demand, abducted from school",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Referred to Mediation,28,Medium
CP-CASE-101377,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 1364781 from their bank account.",Cyber Crime & Fraud,Residential,2,1,None,Spontaneous Argument,1364781,None,"email hacking, online scam, forged signature",Section 318 (Cheating),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Referred to Mediation,10,Low
CP-CASE-101378,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Commercial,1,2,Country-made Gun,Accidental / Negligence,0,Fatal (Death),"autopsy report, fatal attack, murder, poisoning",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,34,High
CP-CASE-101379,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1700458 for his release.,Kidnapping & Abduction,Digital / Online,2,2,Iron Rod,Financial Gain,1700458,None,"forced custody, extortion demand, abduction",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Referred to Mediation,13,High
CP-CASE-101380,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Commercial,2,4,Kitchen Knife,Spontaneous Argument,0,Fatal (Death),"murder, gunshot, poisoning",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Conviction,17,High
CP-CASE-101381,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Residential,3,1,None,Personal Vendetta,0,Severe (Fracture/Deep Cuts),"scuffle, bleeding, iron rod, bruises",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,36,Low
CP-CASE-101382,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 314985.,Cyber Crime & Fraud,Digital / Online,2,1,None,Accidental / Negligence,314985,None,"online scam, fake website, unauthorized transaction, phishing",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,25,Medium
CP-CASE-101383,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 294837 reported.,Cyber Crime & Fraud,Rural Area,1,4,None,Personal Vendetta,294837,None,"fake website, cloned identity, unauthorized transaction, online scam",Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,45,Medium
CP-CASE-101384,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Commercial,3,4,Kitchen Knife,Accidental / Negligence,0,None,"bruises, fight, scuffle, beating",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,27,High
